category,weight,wing,tarsus,blength,bdepth,bwidth,Prin1,Prin1 2,Prin2
fortis,17.1,70,19.95,10.9,9.5,8.5,0.788194417,0.04811808,-0.450335289
fortis,16.23,69.56,19.14,10.98,9.08,8.49,0.074574977,-0.261698105,-0.220968347
fortis,18,68,20.5,11.1,10.5,9.3,0.922271968,1.65596438,-1.127491583
fortis,14.14,67.67,19.49,11.02,9.61,8.91,-0.5819901,0.567093129,-0.616062955
fortis,15.35,69,18.25,10.7,9.2,8.65,-0.705712599,-0.096218172,-0.506787254
fortis,18.58,70,20.05,11.82,9.9,9.67,1.19010811,1.765891149,-0.62703553
fortis,18.34,71.6,20,12.07,9,8.8,1.401834136,0.299826388,0.29903398
fortis,16,71,18,10.9,8.9,8.4,-0.315850605,-0.511572042,-0.149210888
fortis,18.84,67.35,19.14,10.9,10,8.95,0.283231912,0.87116334,-0.869482731
fortis,17.1,67,19.8,10.4,8.9,8.4,0.156452953,-0.659122962,-0.437368427
fortis,15.75,69.5,19.6,11.2,9.4,9.65,0.192959172,1.178120479,-0.762468408
fortis,15.15,64.83,17.82,10.35,8.62,8.14,-1.747870858,-1.142564566,-0.227791567
fortis,19.83,68.67,18.97,11.13,10,9.37,0.670252747,1.347548035,-0.929607678
fortis,15.9,66,18.9,9.4,8.7,8.5,-0.785652935,-1.011102058,-0.974476137
fortis,14.45,65.5,19,10,8.35,8.45,-1.167078767,-1.152421476,-0.456854155
fortis,17.4,67,19.1,11.3,9.1,8.9,-0.142062497,0.246933482,-0.233145675
fortis,18.3,67,20.7,11.3,10.1,9.1,0.91435626,1.212171882,-0.750311534
fortis,13.84,69.36,19.28,8.86,7.39,7.42,-0.452250192,-3.23054369,-0.2329368
fortis,15.1,64,16.9,10.3,8.1,8.1,-2.397908362,-1.59699429,-0.017041442
fortis,18.02,68.31,17.52,11,8.93,8.36,-0.588030132,-0.497846416,-0.085991592
fortis,15.17,68,19.23,10.03,9.07,8.47,-0.415373353,-0.569204863,-0.755038408
fortis,14.4,66,17.1,10.2,8.9,8.5,-2.089133812,-0.620878741,-0.598507017
fortis,18.91,68.67,19.7,11.4,10.17,9.33,0.8383261,1.519340265,-0.827972878
fortis,16.6,66,18.6,10.5,9.5,8.8,-0.778778136,0.22187111,-0.818488045
fortis,14.97,65.5,18.7,10.67,8.77,7.9,-1.202669116,-1.165960607,0.002918431
fortis,16.33,69.3,19.07,10.67,9.47,8.57,0.013344985,0.025208593,-0.602238218
fortis,18.5,69.5,19.9,12.3,9.85,8.9,0.9999997,1.120067239,0.024108371
fortis,17.7,68,18.4,11.4,9.7,9.2,-0.256375367,1.030662965,-0.568389717
fortis,14.1,68,18,9.2,7.9,7.9,-1.316701572,-2.270277336,-0.474153935
fortis,17.6,68,19,11,9.9,8.4,0.036567767,0.288647365,-0.516994089
fortis,19.1,68.67,19.05,11.8,10.32,9.18,0.540237633,1.607090501,-0.592445691
fortis,14.9,67,18,10.1,8.8,9.1,-1.312170164,-0.143872316,-0.888850505
fortis,17,65,18.2,10.7,9.2,8.1,-1.079636978,-0.631173409,-0.254471591
fortis,15.85,66.16,19.63,9.68,7.96,7.91,-0.382858956,-2.07265944,-0.227635138
fortis,15.5,67.62,19.26,10.76,8.91,8.87,-0.391690819,-0.088035641,-0.449764349
fortis,14.85,65.06,17.61,10.35,8.98,8.86,-1.88706672,-0.164804209,-0.711245003
fortis,18.93,71.06,19.45,11.53,11.38,9.89,1.151399084,3.034943359,-1.524706936
fortis,15.8,65,19,11,9.3,8.3,-0.940691451,-0.271042757,-0.215869689
fortis,15.75,68,18.85,10.9,8.95,8.65,-0.479013303,-0.229875109,-0.285170562
fortis,16.3,67,18.5,11.2,9.6,8.8,-0.718106615,0.50551332,-0.457608962
fortis,16.91,67.77,20.03,10.72,9.17,8.9,0.37480299,0.12972406,-0.597187449
fortis,15.23,68.65,19.1,11.1,8.92,8.16,-0.350069184,-0.670572502,0.067645213
fortis,16.31,66.3,19.43,11.67,9.42,9.03,-0.354060179,0.729192079,-0.215680051
fortis,16.76,69.33,20,11.29,9.71,8.75,0.610944649,0.568218206,-0.429598435
fortis,16.6,69,18.7,10.7,9.6,9.2,-0.173414579,0.747020755,-0.9292688
fortis,14.33,66.34,17,11.14,9.72,8.98,-2.095774973,0.755368576,-0.625813666
fortis,16.8,66,19.6,10.7,9.85,9.05,-0.204036501,0.793801177,-0.966809115
fortis,15.33,66.34,18.8,11.84,10.52,9.58,-0.910252839,2.162094774,-0.83797833
fortis,15.1,66,18.2,10.2,9.4,8.4,-1.343677621,-0.332788719,-0.765338797
fortis,17.11,67.84,19.46,11.29,9.78,8.95,0.134172529,0.816697029,-0.551128615
fortis,14.2,67,20.1,10.5,8.1,7.9,-0.369440316,-1.732503099,0.189972723
fortis,15.86,66.97,19.6,10.76,8.93,8.14,-0.247122435,-0.782652953,-0.123380945
fortis,18.4,69,19.1,11.7,11.1,9.8,0.462260151,2.78177396,-1.266329237
fortis,17.33,68.34,20,11.84,10.52,9.58,0.563057061,2.162094774,-0.83797833
fortis,18,65,19,10.9,9.2,8.4,-0.421672981,-0.280359275,-0.276835301
fortis,17.96,68.23,19.36,11.33,10.29,9.15,0.353785585,1.416091983,-0.836788663
fortis,16.8,70,19.2,11.9,10.17,9.5,0.321750568,1.832240985,-0.617803817
fortis,17.39,70.15,19.75,10.25,10.2,9.21,0.778729247,1.086376919,-1.448446968
fortis,16.53,68.34,18.6,11.14,9.92,9.28,-0.364258321,1.201304186,-0.848523333
fortis,16.11,68.83,19.15,11.34,9.07,8.6,-0.082927424,-0.056177487,-0.059703905
fortis,15.73,66.34,20.2,12.44,9.72,8.88,-0.077304451,1.04173638,0.169271509
fortis,16.53,69.34,19.7,10.54,9.12,8.58,0.400258212,-0.273176416,-0.532851587
fortis,14.2,65,18.2,10.5,9.8,8.5,-1.740205939,0.161290111,-0.808485732
fortis,16.6,65,18.3,11.2,9.5,8.4,-1.121248159,0.039384044,-0.231565191
fortis,18.15,65.5,19.1,11.6,9.65,9.1,-0.241428254,0.953883283,-0.385980392
fortis,18.9,69,19.6,11.5,9.6,9,0.843997963,0.78857305,-0.376465589
fortis,17.46,70.33,19.8,9.94,8.96,8.35,0.854777843,-0.797259549,-0.705060457
fortis,17.5,66.5,18.5,10.7,8.9,8.55,-0.527106922,-0.424695527,-0.333287266
fortis,15.5,66,20.4,11.5,9.5,8.8,-0.088682723,0.51697295,-0.242172968
fortis,15.9,67,19.1,11.3,9.7,8.9,-0.495938727,0.709359015,-0.4883945
fortis,17.5,67,19.83,11.2,9.96,8.93,0.266646692,0.909412606,-0.670396504
fortis,16.5,65.5,19.7,11.25,9.15,8.55,-0.314157224,-0.069712209,-0.122667651
fortis,18,70,18.9,11.5,10.9,9.7,0.44658411,2.471347159,-1.250633736
fortis,16.5,66.5,20.45,11.65,9.65,9.15,0.26571396,1.01727067,-0.380102425
